d,n,r,Nystrom Error,Fourier Error
2,1024,128,0.003282910139867603,0.1743122463730995
2,1024,512,0.0012867382141444482,0.0773682200524976
2,1024,1024,0.0006284785814113618,0.06389749207906663
2,4096,128,0.002523557563148968,0.18602454943293184
2,4096,512,0.0013230539105798785,0.0716270779240975
2,4096,1024,0.0009155940487788328,0.08119110888716878
2,16384,128,0.0022702777534223035,0.1383039801668074
2,16384,512,0.0011719606830923079,0.08573400688903242
2,16384,1024,0.0008363171808491538,0.06931042564724492
4,1024,128,0.06981648383772777,0.39745062977970397
4,1024,512,0.014083049219541023,0.21480211658790055
4,1024,1024,7.923112984217085e-08,0.1406085798030039
4,4096,128,0.07850287710639971,0.39733979709287626
4,4096,512,0.013036403993965094,0.1986512636776096
4,4096,1024,0.005355261137544899,0.1463172830251461
4,16384,128,0.06841628931660886,0.44355017864927965
4,16384,512,0.012130813460232745,0.2050594218250843
4,16384,1024,0.004633981469559762,0.15890346412366646
8,1024,128,0.644491569324044,1.6958796872639235
8,1024,512,0.335402241263806,0.8600611548312401
8,1024,1024,6.5726411094023985e-15,0.6053358542941661
8,4096,128,0.6695273450016928,2.076247081558253
8,4096,512,0.37662604847644404,1.0520265274857428
8,4096,1024,0.26217624870156164,0.7290581195785356
8,16384,128,0.6156774453741897,2.1503553724757944
8,16384,512,0.3459807518273404,1.078864082138691
8,16384,1024,0.24218031122439193,0.7585872956225177
16,1024,128,0.9349076500761689,2.831601774259955
16,1024,512,0.7059456597550915,1.4131967285835823
16,1024,1024,3.832623628383637e-15,0.9979433982724054
16,4096,128,0.9838894987452145,5.622152089400069
16,4096,512,0.9333255067655715,2.8145922468256375
16,4096,1024,0.8624364654194625,1.9894587371754078
16,16384,128,0.9953055123108694,11.076018385215633
16,16384,512,0.9805097405617421,5.540036393785941
16,16384,1024,0.961900574860244,3.9166620144088586
